id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 51, #PM",1075,,,5.68,,,51,0.7,proste podatne,#PM,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 51, #PB",1025,,,5.68,,,51,0.7,proste podatne,#PB,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #1",0,,,7.31,,,61,0.8,proste podatne,#1,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #1b",0,,,7.31,,,61,0.8,proste podatne,#1b,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #2",550,,,7.31,,,61,0.8,proste podatne,#2,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #4",1375,,,7.31,,,61,0.8,proste podatne,#4,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #6",0,,,7.31,,,61,0.8,proste podatne,#6,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #8",0,,,7.31,,,61,0.8,proste podatne,#8,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #10",0,,,7.31,,,61,0.8,proste podatne,#10,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #12",0,,,7.31,,,61,0.8,proste podatne,#12,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #16",125,,,7.31,,,61,0.8,proste podatne,#16,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #18",0,,,7.31,,,61,0.8,proste podatne,#18,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #20",0,,,7.31,,,61,0.8,proste podatne,#20,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #18/22",0,,,7.31,,,61,0.8,proste podatne,#18/22,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #22",0,,,7.31,,,61,0.8,proste podatne,#22,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #24",0,,,7.31,,,61,0.8,proste podatne,#24,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #27",900,,,7.31,,,61,0.8,proste podatne,#27,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #613",275,,,7.31,,,61,0.8,proste podatne,#613,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #30",0,,,7.31,,,61,0.8,proste podatne,#30,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #33",0,,,7.31,,,61,0.8,proste podatne,#33,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #130",0,,,7.31,,,61,0.8,proste podatne,#130,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #60",100,,,7.31,,,61,0.8,proste podatne,#60,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #PM",0,,,7.31,,,61,0.8,proste podatne,#PM,włosy
,Włosy Słowiańskie pod mikroringi,"Włosy Słowiańskie pod mikroringi, 61, #PB",0,,,7.31,,,61,0.8,proste podatne,#PB,włosy
