id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Tricho-Cam@Wi-Fi,Tricho-Cam@Wi-Fi,0,,,3490,,,,,,,urządzenia
,Tricho-Cam@UV,Tricho-Cam@UV,12,,,3250,,,,,,,urządzenia
,Tricho-Cam@HD Pro,Tricho-Cam@HD Pro,0,,,9756,,,,,,,urządzenia
,Tricho-Cam@Tab,Tricho-Cam@Tab,0,,,"4877,24",,,,,,,urządzenia
,Tricho-Cam@Wi-Fi X200,Tricho-Cam@Wi-Fi X200,0,,,3490,,,,,,,urządzenia
,Tricho-Cam@Wi-Fi X500,Tricho-Cam@Wi-Fi X500,0,,,3900,,,,,,,urządzenia
,Kombajn do analizy,Kombajn do analizy,0,,,20000,,,,,,,urządzenia
,Tricho-Cam@UV,Tricho-Cam@UV serwisowa,1,,,3250,,,,,,,urządzenia
