id,name,content,qty,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
2743,Włosy indyjskie czarne 50-55 cm 52g,"IND57, Włosy indyjskie czarne 50-55 cm 52g",1,,250.000000,IND57,,,,,,włosy
2744,Włosy indyjskie czarne 55-60 cm 67g,"IND58, Włosy indyjskie czarne 55-60 cm 67g",1,,320.000000,IND58,,,,,,włosy
2745,Włosy indyjskie czarne 55-58 cm 95g,"IND59, Włosy indyjskie czarne 55-58 cm 95g",1,,460.000000,IND59,,,,,,włosy
2746,Włosy indyjskie czarne 55-60 cm 44g,"IND60, Włosy indyjskie czarne 55-60 cm 44g",1,,210.000000,IND60,,,,,,włosy
2747,Włosy indyjskie czarne 55-59 cm 52g,"IND61, Włosy indyjskie czarne 55-59 cm 52g",1,,250.000000,IND61,,,,,,włosy
2748,Włosy indyjskie czarne 55-60 cm 91g,"IND62, Włosy indyjskie czarne 55-60 cm 91g",1,,440.000000,IND62,,,,,,włosy
2749,Włosy indyjskie czarne 55-62 cm 92g,"IND63, Włosy indyjskie czarne 55-62 cm 92g",1,,440.000000,IND63,,,,,,włosy
2750,Włosy indyjskie czarne 55-60 cm 88g,"IND64, Włosy indyjskie czarne 55-60 cm 88g",1,,420.000000,IND64,,,,,,włosy
2751,Włosy indyjskie czarne 55-59 cm 73g,"IND65, Włosy indyjskie czarne 55-59 cm 73g",1,,350.000000,IND65,,,,,,włosy
2752,Włosy indyjskie czarne 55-60 cm 91g,"IND66, Włosy indyjskie czarne 55-60 cm 91g",1,,440.000000,IND66,,,,,,włosy
2753,Włosy indyjskie 55-59 cm 99g,"IND67, Włosy indyjskie 55-59 cm 99g",1,,480.000000,IND67,,,,,,włosy
2754,Włosy indyjskie czarne 55-59 cm 56g,"IND68, Włosy indyjskie czarne 55-59 cm 56g",1,,270.000000,IND68,,,,,,włosy
2755,Włosy indyjskie czarne 55-59 cm 94g,"IND69, Włosy indyjskie czarne 55-59 cm 94g",1,,450.000000,IND69,,,,,,włosy
2756,Włosy indyjskie czarne 55-59 cm 42g,"IND70, Włosy indyjskie czarne 55-59 cm 42g",0,,200.000000,IND70,,,,,,włosy
