id,name,content,qty,created_at,updated_at,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
767,"Złocisty jasny brąz 33 cm, 55 g","1111111153, Złocisty jasny brąz 33 cm, 55 g",1,,,,440.000000,1111111153,,,,,,włosy
768,"Jasny brąz 32 cm, 48 g","1111111154, Jasny brąz 32 cm, 48 g",1,,,,390.000000,1111111154,,,,,,włosy
769,"Średni jasny brąz 42 cm, 88 g","1111111155, Średni jasny brąz 42 cm, 88 g",0,,,,700.000000,1111111155,,,,,,włosy
770,"Średni brąz 38 cm, 72 g","1111111156, Średni brąz 38 cm, 72 g",0,,,,580.000000,1111111156,,,,,,włosy
771,"Średni brąz 33 cm, 32 g","1111111157, Średni brąz 33 cm, 32 g",1,,,,260.000000,1111111157,,,,,,włosy
772,"Średni jasny brąz 40 cm, 137 g","1111111159, Średni jasny brąz 40 cm, 137 g",0,,,,1370.000000,1111111159,,,,,,włosy
773,"Złocisty jasny brąz 33 cm, 52 g","1111111160, Złocisty jasny brąz 33 cm, 52 g",0,,,,420.000000,1111111160,,,,,,włosy
774,"Średni brąz 40 cm, 42 g","1111111161, Średni brąz 40 cm, 42 g",1,,,,380.000000,1111111161,,,,,,włosy
775,"Jasny brąz 31 cm, 58 g","1111111162, Jasny brąz 31 cm, 58 g",1,,,,470.000000,1111111162,,,,,,włosy
776,"Średni brąz 42 cm, 37 g","1111111164, Średni brąz 42 cm, 37 g",1,,,,370.000000,1111111164,,,,,,włosy
777,"Średni jasny brąz 40 cm, 58 g","1111111165, Średni jasny brąz 40 cm, 58 g",1,,,,580.000000,1111111165,,,,,,włosy
778,"Średni brąz 44 cm, 123 g","1111111166, Średni brąz 44 cm, 123 g",1,,,,1360.000000,1111111166,,,,,,włosy
779,"Średni brąz ciemna wiśnia 45 cm, 120 g","1111111167, Średni brąz ciemna wiśnia 45 cm, 120 g",1,,,,1200.000000,1111111167,,,,,,włosy
780,"Średni brąz 42 cm, 50 g","1111111168, Średni brąz 42 cm, 50 g",1,,,,500.000000,1111111168,,,,,,włosy
