id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #PM",2950,,,5.68,,,51,0.7,proste podatne,#PM,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 51, #PB",2500,,,5.68,,,51,0.7,proste podatne,#PB,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #1",2000,,,7.31,,,61,0.8,proste podatne,#1,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #1b",1875,,,7.31,,,61,0.8,proste podatne,#1b,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #2",1125,,,7.31,,,61,0.8,proste podatne,#2,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #4",1325,,,7.31,,,61,0.8,proste podatne,#4,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #6",825,,,7.31,,,61,0.8,proste podatne,#6,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #8",375,,,7.31,,,61,0.8,proste podatne,#8,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #10",225,,,7.31,,,61,0.8,proste podatne,#10,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #12",275,,,7.31,,,61,0.8,proste podatne,#12,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #16",175,,,7.31,,,61,0.8,proste podatne,#16,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #18",1425,,,7.31,,,61,0.8,proste podatne,#18,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #20",500,,,7.31,,,61,0.8,proste podatne,#20,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #18/22",425,,,7.31,,,61,0.8,proste podatne,#18/22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #22",1625,,,7.31,,,61,0.8,proste podatne,#22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #24",775,,,7.31,,,61,0.8,proste podatne,#24,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #27",850,,,7.31,,,61,0.8,proste podatne,#27,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #613",1575,,,7.31,,,61,0.8,proste podatne,#613,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #30",0,,,7.31,,,61,0.8,proste podatne,#30,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #33",0,,,7.31,,,61,0.8,proste podatne,#33,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #130",0,,,7.31,,,61,0.8,proste podatne,#130,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #60",875,,,7.31,,,61,0.8,proste podatne,#60,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #PM",600,,,7.31,,,61,0.8,proste podatne,#PM,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, 61, #PB",1100,,,7.31,,,61,0.8,proste podatne,#PB,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #1",525,,,6.09,,,55,0.7,falowane,#1,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #1b",650,,,6.09,,,55,0.7,falowane,#1b,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #2",975,,,6.09,,,55,0.7,falowane,#2,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #4",750,,,6.09,,,55,0.7,falowane,#4,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #6",550,,,6.09,,,55,0.7,falowane,#6,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #8",675,,,6.09,,,55,0.7,falowane,#8,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #10",225,,,6.09,,,55,0.7,falowane,#10,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #12",250,,,6.09,,,55,0.7,falowane,#12,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #16",575,,,6.09,,,55,0.7,falowane,#16,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #18",425,,,6.09,,,55,0.7,falowane,#18,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #20",800,,,6.09,,,55,0.7,falowane,#20,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #18/22",775,,,6.09,,,55,0.7,falowane,#18/22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #22",100,,,6.09,,,55,0.7,falowane,#22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #24",1000,,,6.09,,,55,0.7,falowane,#24,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #27",0,,,6.09,,,55,0.7,falowane,#27,włosy
