id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Łuski keratynowe,Łuski keratynowe – 30 sztuk,0,,,"20,32",,,,,,,akcesoria
,Taśmy rebondingowe Beauty for You,Taśmy rebondingowe Beauty for You,936,,,"32,51",,,,,,,akcesoria
,Taśmy rebondingowe Balmain,Taśmy rebondingowe Balmain,0,,,"66,67",,,,,,,akcesoria
,Łuski keratynowe Micro Plusbonds Balmain,Łuski keratynowe Micro Plusbonds Balmain,0,,,"34,95",,,,,,,akcesoria
,Keratyna twarda,Keratyna twarda 10g,451,,,"19,99",,,,,,,akcesoria
,Kerawax,Kerawax,192,,,"99,99",,,,,,,akcesoria
