id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Mała czarna szczotka Beauty for You,Mała czarna szczotka Beauty for You,188,,,"16,25",,,,,,,akcesoria
,Kartacz,Kartacz,43,,,"161,79",,,,,,,akcesoria
,Szczotka prostująca,Szczotka prostująca,34,,,"161,79",,,,,,,akcesoria
,Grzebień ze szpikulcem,Grzebień ze szpikulcem,666,,,"5,5",,,,,,,akcesoria
,Laserowa szczotka do włosów,Laserowa szczotka do włosów,0,,,660,,,,,,,akcesoria
,Szczotka owalna Balmain,Szczotka owalna Balmain,3,,,"56,1",,,,,,,akcesoria
,Szczotka owalna Balmain,Szczotka owalna Balmain – bez opakowania,3,,,"56,1",,,,,,,akcesoria
,Szczotka Great Lenghts,Szczotka Great Lenghts,3,,,"115,64",,,,,,,akcesoria
