id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Tulejki proste ,Tulejki proste jasny blond,0,,,"9,99",,,,,,jasny blond,akcesoria
,Tulejki proste ,Tulejki proste beżowy blond,0,,,"9,99",,,,,,beżowy blond,akcesoria
,Tulejki proste ,Tulejki proste ciemny blond,0,,,"9,99",,,,,,ciemny blond,akcesoria
,Tulejki proste ,Tulejki proste brąz,0,,,"9,99",,,,,,brąz,akcesoria
,Tulejki proste ,Tulejki proste ciemny brąz,0,,,"9,99",,,,,,ciemny brąz,akcesoria
,Tulejki proste ,Tulejki proste bardzo ciemny brąz,0,,,"9,99",,,,,,bardzo ciemny brąz,akcesoria
,Tulejki proste ,Tulejki proste czarne,0,,,"9,99",,,,,,czarne,akcesoria
,Tulejki termokurczliwe,Tulejki termokurczliwe czarne,0,,,"8,12",,,,,,czarne,akcesoria
,Tulejki termokurczliwe,Tulejki termokurczliwe przezroczyste,0,,,"8,12",,,,,,przezroczyste,akcesoria
