id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Szampon Beauty for You,Szampon 140ml Beauty for You,4457,,,"49,99",,,,,,,kosmetyki
,Szampon techniczny Beauty for You,Szampon techniczny 500ml Beauty for You,369,,,"129,27",,,,,,,kosmetyki
,Odżywka Beauty for You,Odżywka 350 ml Beauty for You,1244,,,"49,99",,,,,,,kosmetyki
,Spray ochronny Beauty for You,Spray ochronny 150 ml Beauty for You,141,,,"19,5",,,,,,,kosmetyki
,Eliksir Beauty for You,Eliksir Beauty for You,600,,,"39,99",,,,,,,kosmetyki
,Peeling do skóry głowy,Peeling do skóry głowy,32,,,"72,36",,,,,,,kosmetyki
,Adhesive Remover,Adhesive Remover,21,,,"72,36",,,,,,,kosmetyki
,Remover do keratyny,Remover do keratyny 150ml,0,,,24,,,,,,,kosmetyki
,Activ remover,Remover do taśm ACTIV,75,,,"32,52",,,,,,,kosmetyki
